,hermes_name,seed,length_episodes,gpu,gpu_id,gamma,positive_reward,negative_reward,step_reward,num_episodes,extract_replay_buffer,extract_all_states,eps_start,eps_end,eps_decay,buffer_size,number_state_variables,best_network_score,pretrained_neural_network,tau,learning_rate,update_every,neural_network_file,neural_network_weights,policy_extraction_frequency,map_name,noise,random_start,random_velocity,landmarking,surround_with_walls,continuous,penalizing_standing_still,noise_probability,maximal_random_velocity,width_goal_line,es_length_stage,es_pre_training,es_epsilon,es_kappa,es_initial_runs,es_num_threads,es_use_chernoff_hoeffding,es_minimal_prio,es_alpha,es_grp,experiment_path,entropy_weight,train,eid,learning_rate_actor,learning_rate_critic,gae_lambda,initial_temperature,temperature_decay,minimal_temperature,experiment_name,script,sign,json_file,grps_mean,grps_variance,returns_mean,returns_variance,pr_alpha,pr_beta,pr_min_prio,checkpoint_episodes,batch_size,num_obstacles,benchmark,relevance_heuristic,reduction_strategy,archive_size_factor,psi_min,psi_max,no_regret,print_heatmaps,betas
0,2023_12_13_000228257644_6_3a621,38,100,False,4,0.99,100.0,-20.0,0.0,100000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0008,4.0,fcn,,10000,maze_extended,True,True,False,False,False,False,True,0.25,5,3,10000,10000,4.0,0.05,100,8,False,0.2,1,False,/Users/nicola_mueller/Desktop/ablation_combi_ret/experiments,0.001,false,false,-,-,0.9,1.0,0.99,1.0,results,learn_rarepr,29999,,0.0,0.0,-5.043,18.806,0.5,0.5,0.05,100,512,6,racetrack,value,cluster,0.25,0.2,0.8,True,True,
0,2023_12_13_000228257644_6_3a621,38,100,False,4,0.99,100.0,-20.0,0.0,100000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0008,4.0,fcn,,10000,maze_extended,True,True,False,False,False,False,True,0.25,5,3,10000,10000,4.0,0.05,100,8,False,0.2,1,False,/Users/nicola_mueller/Desktop/ablation_combi_ret/experiments,0.001,false,false,-,-,0.9,1.0,0.99,1.0,results,learn_rarepr,39999,,0.0,0.0,-4.274,12.95,0.5,0.5,0.05,100,512,6,racetrack,value,cluster,0.25,0.2,0.8,True,True,
0,2023_12_13_000228257644_6_3a621,38,100,False,4,0.99,100.0,-20.0,0.0,100000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0008,4.0,fcn,,10000,maze_extended,True,True,False,False,False,False,True,0.25,5,3,10000,10000,4.0,0.05,100,8,False,0.2,1,False,/Users/nicola_mueller/Desktop/ablation_combi_ret/experiments,0.001,false,false,-,-,0.9,1.0,0.99,1.0,results,learn_rarepr,19999,,0.0,0.0,-4.875,17.476,0.5,0.5,0.05,100,512,6,racetrack,value,cluster,0.25,0.2,0.8,True,True,
0,2023_12_13_000228257644_6_3a621,38,100,False,4,0.99,100.0,-20.0,0.0,100000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0008,4.0,fcn,,10000,maze_extended,True,True,False,False,False,False,True,0.25,5,3,10000,10000,4.0,0.05,100,8,False,0.2,1,False,/Users/nicola_mueller/Desktop/ablation_combi_ret/experiments,0.001,false,false,-,-,0.9,1.0,0.99,1.0,results,learn_rarepr,89999,,0.429,0.245,9.742,808.503,0.5,0.5,0.05,100,512,6,racetrack,value,cluster,0.25,0.2,0.8,True,True,
0,2023_12_13_000228257644_6_3a621,38,100,False,4,0.99,100.0,-20.0,0.0,100000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0008,4.0,fcn,,10000,maze_extended,True,True,False,False,False,False,True,0.25,5,3,10000,10000,4.0,0.05,100,8,False,0.2,1,False,/Users/nicola_mueller/Desktop/ablation_combi_ret/experiments,0.001,false,false,-,-,0.9,1.0,0.99,1.0,results,learn_rarepr,99999,,0.725,0.199,29.017,927.695,0.5,0.5,0.05,100,512,6,racetrack,value,cluster,0.25,0.2,0.8,True,True,
0,2023_12_13_000228257644_6_3a621,38,100,False,4,0.99,100.0,-20.0,0.0,100000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0008,4.0,fcn,,10000,maze_extended,True,True,False,False,False,False,True,0.25,5,3,10000,10000,4.0,0.05,100,8,False,0.2,1,False,/Users/nicola_mueller/Desktop/ablation_combi_ret/experiments,0.001,false,false,-,-,0.9,1.0,0.99,1.0,results,learn_rarepr,9999,,0.0,0.0,-9.142,33.118,0.5,0.5,0.05,100,512,6,racetrack,value,cluster,0.25,0.2,0.8,True,True,
0,2023_12_13_000228257644_6_3a621,38,100,False,4,0.99,100.0,-20.0,0.0,100000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0008,4.0,fcn,,10000,maze_extended,True,True,False,False,False,False,True,0.25,5,3,10000,10000,4.0,0.05,100,8,False,0.2,1,False,/Users/nicola_mueller/Desktop/ablation_combi_ret/experiments,0.001,false,false,-,-,0.9,1.0,0.99,1.0,results,learn_rarepr,59999,,0.0,0.0,-8.16,32.182,0.5,0.5,0.05,100,512,6,racetrack,value,cluster,0.25,0.2,0.8,True,True,
0,2023_12_13_000228257644_6_3a621,38,100,False,4,0.99,100.0,-20.0,0.0,100000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0008,4.0,fcn,,10000,maze_extended,True,True,False,False,False,False,True,0.25,5,3,10000,10000,4.0,0.05,100,8,False,0.2,1,False,/Users/nicola_mueller/Desktop/ablation_combi_ret/experiments,0.001,false,false,-,-,0.9,1.0,0.99,1.0,results,learn_rarepr,end,,0.735,0.195,30.414,853.195,0.5,0.5,0.05,100,512,6,racetrack,value,cluster,0.25,0.2,0.8,True,True,
0,2023_12_13_000228257644_6_3a621,38,100,False,4,0.99,100.0,-20.0,0.0,100000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0008,4.0,fcn,,10000,maze_extended,True,True,False,False,False,False,True,0.25,5,3,10000,10000,4.0,0.05,100,8,False,0.2,1,False,/Users/nicola_mueller/Desktop/ablation_combi_ret/experiments,0.001,false,false,-,-,0.9,1.0,0.99,1.0,results,learn_rarepr,best,,0.633,0.232,22.116,1094.141,0.5,0.5,0.05,100,512,6,racetrack,value,cluster,0.25,0.2,0.8,True,True,
0,2023_12_13_000228257644_6_3a621,38,100,False,4,0.99,100.0,-20.0,0.0,100000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0008,4.0,fcn,,10000,maze_extended,True,True,False,False,False,False,True,0.25,5,3,10000,10000,4.0,0.05,100,8,False,0.2,1,False,/Users/nicola_mueller/Desktop/ablation_combi_ret/experiments,0.001,false,false,-,-,0.9,1.0,0.99,1.0,results,learn_rarepr,49999,,0.0,0.0,-7.485,30.474,0.5,0.5,0.05,100,512,6,racetrack,value,cluster,0.25,0.2,0.8,True,True,
